Fav,Net Pos,Race No,Name,Net Time,Time Adj,Category,Net Cat Pos,Gender,Net Gender Pos,Wave,Start,Run,Row,Deadball Burpee,Pendulum Shots,Bike Erg,SandbagGauntlet,Battle Whip,Farmer's Carry,Agility Chamber,Ski,Mule,Sled Push Pull
,1,552,MARCUS FUNKEN,0:24:18.7,,30-34,1,Male,1,Wave1 12:30:00,0:00:01.3,0:01:33.1,0:03:33.5,0:06:06.4,0:07:51.2,0:10:05.1,0:12:37.9,0:14:39.5,0:15:54.5,0:17:38.6,,0:20:58.1,0:24:18.7
,2,351,PIERRE ALGRET,0:25:56.5,,25-29,1,Male,2,Wave1 12:30:00,0:00:00.0,0:01:37.4,0:03:26.8,0:06:17.1,0:07:48.3,0:10:13.8,0:13:27.5,0:15:26.4,0:17:02.1,0:18:51.5,0:21:12.4,0:22:48.0,0:25:56.5
,3,357,NICK TISINGER,0:26:59.3,,30-34,2,Male,3,Wave1 12:30:00,0:00:00.0,0:01:44.9,0:04:03.1,0:06:20.9,0:07:31.4,0:10:01.8,0:12:45.4,0:15:25.1,0:17:05.8,0:19:06.0,0:21:53.4,0:23:38.4,0:26:59.3
,4,341,TOBY WILLIAMSON,0:27:09.5,,30-34,3,Male,4,Wave1 12:30:00,0:00:01.9,0:01:51.4,0:04:18.2,0:07:02.6,0:08:14.8,0:10:51.0,0:14:17.1,0:16:02.9,0:18:10.0,0:19:38.2,,0:23:50.1,0:27:09.5
,5,353,HO KIAT LEE,0:27:18.7,,30-34,4,Male,5,Wave1 12:30:00,0:00:01.8,0:01:37.5,0:03:18.4,0:06:02.7,0:07:56.9,0:10:27.5,0:13:37.8,0:15:55.3,0:17:17.6,0:19:14.9,,0:23:43.7,0:27:18.7
,6,352,JULIEN PRIEUR,0:27:56.3,,30-34,5,Male,6,Wave1 12:30:00,0:00:01.4,0:01:34.8,0:03:38.2,0:06:35.5,0:08:10.1,0:10:43.6,0:13:54.3,0:15:59.7,0:17:27.3,0:19:33.9,,0:23:50.9,0:27:56.3
,7,359,JOHNNY TIEU,0:28:11.2,,35-39,1,Male,7,Wave1 12:30:00,0:00:00.0,0:01:35.4,0:03:48.7,0:06:37.8,0:08:57.3,0:11:30.0,0:14:28.2,0:16:43.3,0:18:09.0,0:19:25.5,0:22:11.3,0:23:46.1,0:28:11.2
,8,547,NAJAAT SABRI,0:28:25.7,,25-29,2,Male,8,Wave12 14:20:00,0:00:02.9,0:02:04.4,0:04:17.4,0:07:19.2,0:09:16.2,0:11:54.0,0:14:49.8,0:17:04.2,0:19:17.2,0:21:16.0,0:23:56.9,0:25:19.2,0:28:25.7
,9,342,ZHANG YU SEAH,0:29:25.6,,25-29,3,Male,9,Wave1 12:30:00,0:00:00.0,0:01:34.2,0:01:42.8,0:07:00.7,0:08:55.4,0:11:33.7,0:14:51.9,0:17:29.5,0:19:36.5,0:21:32.8,0:24:01.6,0:25:34.9,0:29:25.6
,10,356,MARC LE,0:29:37.0,,35-39,2,Male,10,Wave1 12:30:00,0:00:02.3,0:01:48.3,0:04:07.4,0:06:27.4,0:08:01.0,0:10:53.2,0:14:38.4,0:17:36.3,0:19:27.6,0:21:23.5,,0:25:31.4,0:29:37.0
