Fav,Net Pos,Race No,Name,Net Time,Time Adj,Category,Net Cat Pos,Gender,Net Gender Pos,Wave,Start,Run,Row,Deadball Burpee,Pendulum Shots,Bike Erg,SandbagGauntlet,Battle Whip,Farmer's Carry,Agility Chamber,Ski,Mule,Sled Push Pull
,1,332,CLAIRE NESBITT,0:28:20.5,,25-29,1,Female,1,Wave1 10:20:00,0:00:00.0,0:01:44.0,0:03:51.3,0:07:26.9,0:09:00.1,0:11:12.5,0:14:22.6,0:16:51.6,0:18:38.6,0:20:28.7,0:22:46.8,0:24:35.0,0:28:20.5
,2,254,JASMINE MIEDL,0:29:31.1,,30-34,1,Female,2,Wave1 10:20:00,0:00:00.9,0:01:38.7,0:03:44.8,0:07:51.7,0:09:13.6,0:11:32.7,0:14:40.4,0:17:40.6,0:19:20.3,0:21:21.0,0:23:53.6,0:25:35.1,0:29:31.1
,3,257,YI ZHEN LIM,0:30:44.4,,30-34,2,Female,3,Wave1 10:20:00,0:00:01.8,0:02:06.7,0:04:18.1,0:07:35.2,0:09:22.6,0:11:51.0,0:14:52.3,0:18:11.2,0:20:25.0,0:21:48.7,0:24:25.6,0:26:32.9,0:30:44.4
,4,311,YEO LING MIN,0:30:47.3,,35-39,1,Female,4,Wave4 10:50:00,0:00:01.8,0:02:02.7,0:04:14.7,0:07:37.7,0:09:23.5,0:12:07.5,0:15:45.1,0:18:26.4,0:20:30.0,0:22:24.5,0:25:11.7,0:27:14.9,0:30:47.3
,5,255,KAREN LEE SHIN YEE,0:31:26.1,,30-34,3,Female,5,Wave1 10:20:00,0:00:02.1,0:02:07.5,0:04:12.0,0:07:35.7,0:09:39.7,0:12:16.0,0:16:16.5,0:18:31.5,0:20:33.6,0:22:26.6,0:25:05.1,0:27:09.9,0:31:26.1
,6,241,LENA JAENTSCH,0:31:58.0,,35-39,2,Female,6,Wave1 10:20:00,0:00:00.0,0:01:59.6,0:03:47.9,0:06:55.2,0:08:24.0,0:10:36.9,0:14:20.1,0:17:19.7,0:19:11.7,0:21:46.6,0:24:23.9,,0:31:58.0
,7,34,YASMINE TRAN,0:32:08.7,,30-34,4,Female,7,Wave1 10:20:00,0:00:02.7,0:01:57.9,0:04:20.2,0:07:22.0,0:09:06.7,0:12:01.0,0:15:40.7,0:18:46.9,0:21:11.5,0:23:30.4,0:26:29.4,0:28:31.8,0:32:08.7
,8,251,CONSTANCE CHOW,0:32:18.7,,45-49,1,Female,8,Wave1 10:20:00,0:00:02.0,0:01:58.6,0:04:17.4,0:07:22.1,0:08:34.8,0:11:06.1,0:15:02.6,0:17:49.7,0:20:20.7,0:22:41.8,0:25:37.1,0:27:30.2,0:32:18.7
,9,252,URACHA TEERAWANITSAN,0:32:42.8,,30-34,5,Female,9,Wave1 10:20:00,0:00:01.8,0:02:04.5,0:04:25.5,0:07:40.1,0:10:17.3,0:12:54.5,0:16:10.5,0:19:10.6,0:21:27.8,0:23:58.3,0:26:58.3,0:28:50.6,0:32:42.8
,10,320,WAN THENG WONG,0:33:18.1,,40-44,1,Female,10,Wave5 11:00:00,0:00:01.9,0:02:12.4,0:04:47.0,0:07:57.2,0:10:39.5,0:13:21.1,0:16:37.0,0:18:59.9,0:21:49.6,0:24:00.3,0:26:58.6,0:28:57.6,0:33:18.1
