Fav,Net Pos,Race No,Name,Net Time,Time Adj,Category,Net Cat Pos,Gender,Net Gender Pos,Wave,Start,Run,Row,Deadball Burpee,Pendulum Shots,Bike Erg,SandbagGauntlet,Battle Whip,Farmer's Carry,Agility Chamber,Ski,Mule,Sled Push Pull
,1,95,ANGIE LEK,0:23:51.3,,All Ages,1,Female,1,Wave5 08:30:00,0:00:01.9,0:02:03.4,0:03:40.9,0:06:48.0,,0:09:49.6,0:12:02.9,0:13:40.1,0:15:54.6,0:17:19.8,0:19:32.3,0:20:52.1,0:23:51.3
,2,118,ARIAL CHAN,0:24:03.1,,All Ages,2,Female,2,Wave6 08:35:00,0:00:01.2,0:01:55.4,0:03:41.5,0:07:07.6,0:09:00.8,0:10:49.9,0:12:33.8,0:14:30.7,0:16:37.7,0:17:58.8,0:20:20.0,0:21:34.7,0:24:03.1
,3,107,ERICA MEI SHANG TING,0:24:19.0,,All Ages,3,Female,3,Wave6 08:35:00,0:00:00.0,0:01:54.5,0:03:35.2,0:06:41.6,0:07:56.9,0:10:04.0,0:11:55.4,0:13:51.9,0:15:59.4,0:17:22.8,0:19:34.4,0:20:57.4,0:24:19.0
,4,83,ORANGE NING,0:24:45.1,,All Ages,4,Female,4,Wave5 08:30:00,0:00:01.1,0:02:06.2,0:04:00.3,0:06:54.2,,0:11:16.3,0:13:12.4,0:14:50.7,0:16:44.5,0:18:09.3,0:20:37.5,0:22:05.8,0:24:45.1
,5,24,KATE SARGINSON,0:25:12.8,,All Ages,5,Female,5,Wave1 08:00:00,0:00:01.8,0:02:03.5,0:03:45.4,0:06:53.7,0:08:52.2,0:10:26.4,0:12:59.7,0:14:41.5,0:16:53.9,0:18:26.7,0:20:33.1,0:22:10.2,0:25:12.8
,6,226,NATASHA CHUAH,0:25:23.9,,All Ages,6,Female,6,Wave12 09:05:00,0:00:00.0,0:02:28.4,0:04:17.0,0:07:19.3,0:08:42.0,0:10:53.4,0:13:01.9,0:14:44.4,0:16:57.4,0:18:28.9,0:20:38.7,0:22:11.4,0:25:23.9
,7,42,SHARFEYNEY SAZALI,0:25:31.0,,All Ages,7,Female,7,Wave2 08:10:00,0:00:01.7,0:02:45.3,0:04:22.5,0:07:16.2,,0:10:31.4,0:12:51.3,0:14:18.5,0:16:50.8,0:18:23.5,0:20:38.3,0:22:27.2,0:25:31.0
,8,81,CHUNG SING LING,0:26:00.0,,All Ages,8,Female,8,Wave4 08:25:00,0:00:03.7,0:02:24.9,0:04:09.3,0:07:43.1,,0:10:58.4,0:12:55.6,0:14:18.1,0:17:01.8,0:18:39.5,0:20:58.8,0:22:32.0,0:26:00.0
,9,173,KATRINA TAIB,0:26:26.8,,All Ages,9,Female,9,Wave2 08:10:00,0:00:02.3,0:02:09.9,0:03:53.3,0:06:49.9,,0:10:01.0,0:12:37.6,0:16:07.6,0:18:21.7,0:19:47.7,0:21:48.2,0:23:08.4,0:26:26.8
,10,94,NABILAH ABDUL GHAFAR,0:26:35.2,,All Ages,10,Female,10,Wave5 08:30:00,0:00:02.8,0:02:26.4,0:04:14.2,0:07:00.6,,0:10:59.2,0:13:11.8,0:15:06.6,0:17:38.7,0:19:08.6,0:21:19.4,0:22:47.5,0:26:35.2
,11,104,FARAH ISMAIL,0:26:53.9,,All Ages,11,Female,11,Wave6 08:35:00,0:00:01.3,0:02:19.3,0:04:26.1,0:07:43.3,0:09:21.8,0:11:32.6,0:13:42.0,0:15:53.2,0:18:39.5,0:20:08.9,0:22:21.6,0:23:49.3,0:26:53.9
,12,196,ANGELA JAEL SOH,0:26:56.4,,All Ages,12,Female,12,Wave10 08:55:00,0:00:03.4,0:02:26.6,0:04:01.2,0:07:28.4,0:08:59.6,0:11:32.1,0:13:33.5,0:15:29.5,0:18:20.5,0:19:40.5,,0:23:51.4,0:26:56.4
